AGREEMENTID,FORECLOSURE
11220003,0.524519162038263
11220004,0.7366399109916273
11220005,0.6095460550068204
11220007,0.5875614382124781
11220009,0.6229121904843135
11220013,0.6838021069230047
11220015,0.5553006028197038
11220018,0.6339772071879727
11220019,0.5510716805631121
11220023,0.6516567792289023
11220024,0.5085150967743712
11220027,0.4675087069735163
11220028,0.6991238489490945
11220031,0.588487180547946
11220033,0.5990585994302581
11220035,0.42583917125445814
11220038,0.6401889718938549
11220045,0.7246483680316632
11220047,0.6554766318215368
11220049,0.5940842360499886
11220060,0.4099166835175687
11220062,0.7197070448969083
11220068,0.7407797711314873
11220071,0.5756061393026565
11220073,0.6838021069230047
11220078,0.6887522001336582
11220079,0.4572434598359018
11220080,0.6580456017061413
11220086,0.6696814212535444
11220087,0.6471549534998586
11220091,0.6050833456315723
11220093,0.5783197133337563
11220094,0.5828057121089083
11220095,0.7344678485511438
11220097,0.5669256832217427
11220099,0.5577383472297788
11220101,0.5982190380227399
11220102,0.4714834324237006
11220103,0.6887748283618387
11220110,0.5817365740852652
11220111,0.565858607918502
11220116,0.6512817582947952
11220119,0.5085150967743712
11220121,0.6115001032883253
11220123,0.6578909230514628
11220125,0.524519162038263
11220127,0.5196699178378199
11220131,0.6387452789638683
11220140,0.5670162885228743
11220141,0.5874106224246654
11220142,0.4586544901822956
11220147,0.5617473926453938
11220148,0.7447644881434354
11220149,0.7017441134627027
11220151,0.5706667925297182
11220158,0.6247182566143095
11220160,0.5209180120740697
11220163,0.5085150967743712
11220167,0.7731763400596351
11220171,0.6288786517747045
11220174,0.6556108833157662
11220176,0.49512169175723725
11220180,0.7517783725300887
11220181,0.752494521877817
11220182,0.5894082736382608
11220183,0.7139550691736584
11220184,0.8070276565793726
11220186,0.580099398395458
11220188,0.691331227518238
11220189,0.5899799156441441
11220190,0.6159268503342674
11220192,0.8279952410570991
11220193,0.4458615241175816
11220194,0.6116773219805182
11220195,0.6045740922990924
11220196,0.5669776591745499
11220197,0.4458615241175816
11220201,0.7385476032993197
11220202,0.6617263820712871
11220204,0.6168319722931953
11220205,0.6896529157353622
11220206,0.4518101407183721
11220207,0.7112978334187313
11220211,0.6698000139605537
11220212,0.4458615241175816
11220214,0.5228929606945728
11220215,0.5999450214776001
11220218,0.5723991662472876
11220219,0.6817328566036197
11220224,0.5223763048954059
11220229,0.5696214924563829
11220234,0.6195412084041476
11220242,0.4315815627828977
11220243,0.6320615992619999
11220245,0.7719694133733035
11220248,0.5779169747518652
11220251,0.6996952006922795
11220252,0.4409934228146979
11220253,0.5659391377660596
11220254,0.4649092378712539
11220256,0.7522618586092268
11220258,0.7753394088748777
11220260,0.5712215049271956
11220261,0.4326557395639711
11220262,0.6006316235953637
11220263,0.5644594624705946
11220266,0.4435368487929064
11220271,0.5658124140181046
11220273,0.4284763997542054
11220278,0.7514268214622905
11220279,0.7292030452385143
11220280,0.5278190335783082
11220282,0.5172181709459764
11220285,0.4119798502359079
11220286,0.4211632997237612
11220287,0.7732708108062798
11220288,0.5775850328066914
11220289,0.7609060512452354
11220290,0.7112139255391711
11220291,0.5874433214441865
11220292,0.5104269289426572
11220295,0.785286833634202
11220296,0.31784085539246737
11220299,0.5626880766889417
11220300,0.398200519400636
11220301,0.5805025373294591
11220304,0.7209292380388489
11220305,0.7370395843787685
11220309,0.4463734656512712
11220311,0.5064755437348183
11220312,0.5950275901527047
11220313,0.5360827698420444
11220314,0.6248285377794062
11220316,0.5937433188463128
11220319,0.7116941976095227
11220320,0.7744696508170192
11220323,0.589743045789334
11220325,0.793885341378234
11220327,0.4402649234280276
11220332,0.641045276718991
11220335,0.4727417885244665
11220336,0.5848787482317422
11220337,0.5492144846493752
11220338,0.793885341378234
11220339,0.5700795383011968
11220343,0.4049467665446532
11220344,0.5423433927782833
11220345,0.6907046897697083
11220347,0.43524035074472067
11220350,0.5661176043287365
11220352,0.8475587921105082
11220353,0.6037297947886713
11220359,0.7844437877911561
11220360,0.4667806854503673
11220364,0.5419968699457863
11220366,0.4168336430337035
11220373,0.469184027109359
11220377,0.43895857544125355
11220378,0.42690412810418865
11220379,0.7144363198070829
11220380,0.5642603474301484
11220388,0.7275372688625146
11220391,0.4222375993443185
11220394,0.6742092115293385
11220396,0.6672538525309387
11220400,0.5225371285552268
11220402,0.4226226744141761
11220406,0.35671281768447927
11220411,0.3947864550779567
11220414,0.7245475207569634
11220415,0.5872272983881064
11220422,0.5634177894377451
11220425,0.6343373714596254
11220427,0.6336573058239802
11220434,0.6876058392899084
11220435,0.52600186196996
11220439,0.37442647657438555
11220441,0.35219209130633955
